itm_no_item|INVALID ITEM 
itm_practice_crossbow|机 括 灵 弩
itm_practice_crossbow_pl|机 括 灵 弩
itm_practice_javelin|飞 符 投 刃
itm_practice_javelin_pl|飞 符 投 刃
itm_practice_javelin_melee|飞 符 投 刃
itm_practice_javelin_melee_pl|飞 符 投 刃
itm_practice_throwing_daggers|制 式 法 剑
itm_practice_throwing_daggers_pl|制 式 法 剑
itm_practice_throwing_daggers_100_amount|制 式 法 剑
itm_practice_throwing_daggers_100_amount_pl|制 式 法 剑
itm_practice_horse|凡 马
itm_practice_horse_pl|凡 马
itm_practice_arrows|符 羽 箭
itm_practice_arrows_pl|符 羽 箭
itm_practice_bolts|破 甲 弩 矢
itm_practice_bolts_pl|破 甲 弩 矢
itm_practice_arrows_10_amount|符 羽 箭
itm_practice_arrows_10_amount_pl|符 羽 箭
itm_practice_arrows_100_amount|符 羽 箭
itm_practice_arrows_100_amount_pl|符 羽 箭
itm_practice_bolts_9_amount|破 甲 弩 矢
itm_practice_bolts_9_amount_pl|破 甲 弩 矢
itm_practice_boots|行 云 战 靴
itm_practice_boots_pl|行 云 战 靴
itm_red_tourney_armor|护 身 灵 甲
itm_red_tourney_armor_pl|护 身 灵 甲
itm_blue_tourney_armor|护 身 灵 甲
itm_blue_tourney_armor_pl|护 身 灵 甲
itm_green_tourney_armor|护 身 灵 甲
itm_green_tourney_armor_pl|护 身 灵 甲
itm_gold_tourney_armor|护 身 灵 甲
itm_gold_tourney_armor_pl|护 身 灵 甲
itm_red_tourney_helmet|护 法 冠
itm_red_tourney_helmet_pl|护 法 冠
itm_blue_tourney_helmet|护 法 冠
itm_blue_tourney_helmet_pl|护 法 冠
itm_green_tourney_helmet|护 法 冠
itm_green_tourney_helmet_pl|护 法 冠
itm_gold_tourney_helmet|护 法 冠
itm_gold_tourney_helmet_pl|护 法 冠
itm_arena_shield_red|护 身 法 盾
itm_arena_shield_red_pl|护 身 法 盾
itm_arena_shield_blue|护 身 法 盾
itm_arena_shield_blue_pl|护 身 法 盾
itm_arena_shield_green|护 身 法 盾
itm_arena_shield_green_pl|护 身 法 盾
itm_arena_shield_yellow|护 身 法 盾
itm_arena_shield_yellow_pl|护 身 法 盾
itm_arena_armor_white|护 身 灵 甲
itm_arena_armor_white_pl|护 身 灵 甲
itm_arena_armor_red|护 身 灵 甲
itm_arena_armor_red_pl|护 身 灵 甲
itm_arena_armor_blue|护 身 灵 甲
itm_arena_armor_blue_pl|护 身 灵 甲
itm_arena_armor_green|护 身 灵 甲
itm_arena_armor_green_pl|护 身 灵 甲
itm_arena_armor_yellow|护 身 灵 甲
itm_arena_armor_yellow_pl|护 身 灵 甲
itm_arena_tunic_white|修 士 行 袍
itm_arena_tunic_white_pl|修 士 行 袍
itm_arena_tunic_red|修 士 行 袍
itm_arena_tunic_red_pl|修 士 行 袍
itm_arena_tunic_blue|修 士 行 袍
itm_arena_tunic_blue_pl|修 士 行 袍
itm_arena_tunic_green|修 士 行 袍
itm_arena_tunic_green_pl|修 士 行 袍
itm_arena_tunic_yellow|修 士 行 袍
itm_arena_tunic_yellow_pl|修 士 行 袍
itm_arena_helmet_red|护 法 冠
itm_arena_helmet_red_pl|护 法 冠
itm_arena_helmet_blue|护 法 冠
itm_arena_helmet_blue_pl|护 法 冠
itm_arena_helmet_green|护 法 冠
itm_arena_helmet_green_pl|护 法 冠
itm_arena_helmet_yellow|护 法 冠
itm_arena_helmet_yellow_pl|护 法 冠
itm_steppe_helmet_white|护 法 冠
itm_steppe_helmet_white_pl|护 法 冠
itm_steppe_helmet_red|护 法 冠
itm_steppe_helmet_red_pl|护 法 冠
itm_steppe_helmet_blue|护 法 冠
itm_steppe_helmet_blue_pl|护 法 冠
itm_steppe_helmet_green|护 法 冠
itm_steppe_helmet_green_pl|护 法 冠
itm_steppe_helmet_yellow|护 法 冠
itm_steppe_helmet_yellow_pl|护 法 冠
itm_tourney_helm_white|护 法 冠
itm_tourney_helm_white_pl|护 法 冠
itm_tourney_helm_red|护 法 冠
itm_tourney_helm_red_pl|护 法 冠
itm_tourney_helm_blue|护 法 冠
itm_tourney_helm_blue_pl|护 法 冠
itm_tourney_helm_green|护 法 冠
itm_tourney_helm_green_pl|护 法 冠
itm_tourney_helm_yellow|护 法 冠
itm_tourney_helm_yellow_pl|护 法 冠
itm_arena_turban_red|护 法 冠
itm_arena_turban_red_pl|护 法 冠
itm_arena_turban_blue|护 法 冠
itm_arena_turban_blue_pl|护 法 冠
itm_arena_turban_green|护 法 冠
itm_arena_turban_green_pl|护 法 冠
itm_arena_turban_yellow|护 法 冠
itm_arena_turban_yellow_pl|护 法 冠
itm_book_tactics|器 道 入 门
itm_book_tactics_pl|器 道 入 门
itm_book_persuasion|望 气 杂 录
itm_book_persuasion_pl|望 气 杂 录
itm_book_leadership|宗 主 札 记
itm_book_leadership_pl|宗 主 札 记
itm_book_intelligence|灵 符 观 想 篇
itm_book_intelligence_pl|灵 符 观 想 篇
itm_book_trade|灵 石 账 簿
itm_book_trade_pl|灵 石 账 簿
itm_book_weapon_mastery|青 云 剑 经
itm_book_weapon_mastery_pl|青 云 剑 经
itm_book_engineering|炼 器 图 录
itm_book_engineering_pl|炼 器 图 录
itm_book_wound_treatment_reference|丹 道 医 书
itm_book_wound_treatment_reference_pl|丹 道 医 书
itm_book_training_reference|外 门 训 典
itm_book_training_reference_pl|外 门 训 典
itm_book_surgery_reference|青 囊 秘 卷
itm_book_surgery_reference_pl|青 囊 秘 卷
itm_spice|南 荒 灵 药
itm_spice_pl|南 荒 灵 药
itm_salt|灵 盐
itm_salt_pl|灵 盐
itm_oil|丹 油
itm_oil_pl|丹 油
itm_pottery|灵 陶
itm_pottery_pl|灵 陶
itm_raw_flax|符 草
itm_raw_flax_pl|符 草
itm_linen|符 纸
itm_linen_pl|符 纸
itm_wool|妖 兽 绒
itm_wool_pl|妖 兽 绒
itm_wool_cloth|兽 绒 布
itm_wool_cloth_pl|兽 绒 布
itm_raw_silk|青 纹 灵 竹
itm_raw_silk_pl|青 纹 灵 竹
itm_raw_dyes|灵 染 料
itm_raw_dyes_pl|灵 染 料
itm_velvet|云 锦
itm_velvet_pl|云 锦
itm_iron|玄 铁
itm_iron_pl|玄 铁
itm_tools|炼 器 工 具
itm_tools_pl|炼 器 工 具
itm_raw_leather|妖 兽 皮
itm_raw_leather_pl|妖 兽 皮
itm_leatherwork|皮 甲 料
itm_leatherwork_pl|皮 甲 料
itm_raw_date_fruit|枣 肉
itm_raw_date_fruit_pl|枣 肉
itm_furs|妖 兽 裘
itm_furs_pl|妖 兽 裘
itm_wine|聚 气 灵 酿
itm_wine_pl|聚 气 灵 酿
itm_ale|辟 谷 丹
itm_ale_pl|辟 谷 丹
itm_smoked_fish|熏 鱼
itm_smoked_fish_pl|熏 鱼
itm_cheese|奶 酪
itm_cheese_pl|奶 酪
itm_honey|灵 蜜
itm_honey_pl|灵 蜜
itm_sausages|腊 肠
itm_sausages_pl|腊 肠
itm_cabbages|卷 心 菜
itm_cabbages_pl|卷 心 菜
itm_dried_meat|风 干 肉
itm_dried_meat_pl|风 干 肉
itm_apples|苹 果
itm_apples_pl|苹 果
itm_raw_grapes|葡 萄
itm_raw_grapes_pl|葡 萄
itm_raw_olives|橄 榄
itm_raw_olives_pl|橄 榄
itm_grain|灵 谷
itm_grain_pl|灵 谷
itm_cattle_meat|牛 肉
itm_cattle_meat_pl|牛 肉
itm_bread|灵 麦 饼
itm_bread_pl|灵 麦 饼
itm_chicken|鸡 肉
itm_chicken_pl|鸡 肉
itm_pork|猪 肉
itm_pork_pl|猪 肉
itm_butter|奶 油
itm_butter_pl|奶 油
itm_siege_supply|补 给 品
itm_siege_supply_pl|补 给 品
itm_quest_wine|葡 萄 酒
itm_quest_wine_pl|葡 萄 酒
itm_quest_ale|麦 芽 酒
itm_quest_ale_pl|麦 芽 酒
itm_sumpter_horse|驮 兽
itm_sumpter_horse_pl|驮 兽
itm_saddle_horse|宗 门 驮 马
itm_saddle_horse_pl|宗 门 驮 马
itm_steppe_horse|凡 马
itm_steppe_horse_pl|凡 马
itm_arabian_horse_a|凡 马
itm_arabian_horse_a_pl|凡 马
itm_courser|轻 灵 快 马
itm_courser_pl|轻 灵 快 马
itm_arabian_horse_b|凡 马
itm_arabian_horse_b_pl|凡 马
itm_hunter|追 风 灵 马
itm_hunter_pl|追 风 灵 马
itm_warhorse|披 甲 战 马
itm_warhorse_pl|披 甲 战 马
itm_charger|重 甲 灵 骑
itm_charger_pl|重 甲 灵 骑
itm_arrows|符 羽 箭
itm_arrows_pl|符 羽 箭
itm_khergit_arrows|符 羽 箭
itm_khergit_arrows_pl|符 羽 箭
itm_barbed_arrows|符 羽 箭
itm_barbed_arrows_pl|符 羽 箭
itm_bodkin_arrows|符 羽 箭
itm_bodkin_arrows_pl|符 羽 箭
itm_bolts|破 甲 弩 矢
itm_bolts_pl|破 甲 弩 矢
itm_steel_bolts|破 甲 弩 矢
itm_steel_bolts_pl|破 甲 弩 矢
itm_cartridges|弹 药 筒
itm_cartridges_pl|弹 药 筒
itm_pilgrim_disguise|朝 圣 者 服
itm_pilgrim_disguise_pl|朝 圣 者 服
itm_pilgrim_hood|护 法 冠
itm_pilgrim_hood_pl|护 法 冠
itm_leather_gloves|护 腕 手 甲
itm_leather_gloves_pl|护 腕 手 甲
itm_mail_mittens|护 腕 手 甲
itm_mail_mittens_pl|护 腕 手 甲
itm_scale_gauntlets|护 腕 手 甲
itm_scale_gauntlets_pl|护 腕 手 甲
itm_lamellar_gauntlets|护 腕 手 甲
itm_lamellar_gauntlets_pl|护 腕 手 甲
itm_gauntlets|护 腕 手 甲
itm_gauntlets_pl|护 腕 手 甲
itm_wrapping_boots|行 云 战 靴
itm_wrapping_boots_pl|行 云 战 靴
itm_woolen_hose|行 云 战 靴
itm_woolen_hose_pl|行 云 战 靴
itm_blue_hose|行 云 战 靴
itm_blue_hose_pl|行 云 战 靴
itm_hunter_boots|行 云 战 靴
itm_hunter_boots_pl|行 云 战 靴
itm_hide_boots|行 云 战 靴
itm_hide_boots_pl|行 云 战 靴
itm_ankle_boots|行 云 战 靴
itm_ankle_boots_pl|行 云 战 靴
itm_nomad_boots|行 云 战 靴
itm_nomad_boots_pl|行 云 战 靴
itm_leather_boots|行 云 战 靴
itm_leather_boots_pl|行 云 战 靴
itm_splinted_leather_greaves|行 云 战 靴
itm_splinted_leather_greaves_pl|行 云 战 靴
itm_mail_chausses|行 云 战 靴
itm_mail_chausses_pl|行 云 战 靴
itm_splinted_greaves|行 云 战 靴
itm_splinted_greaves_pl|行 云 战 靴
itm_mail_boots|行 云 战 靴
itm_mail_boots_pl|行 云 战 靴
itm_iron_greaves|行 云 战 靴
itm_iron_greaves_pl|行 云 战 靴
itm_black_greaves|行 云 战 靴
itm_black_greaves_pl|行 云 战 靴
itm_khergit_leather_boots|行 云 战 靴
itm_khergit_leather_boots_pl|行 云 战 靴
itm_sarranid_boots_a|行 云 战 靴
itm_sarranid_boots_a_pl|行 云 战 靴
itm_sarranid_boots_b|行 云 战 靴
itm_sarranid_boots_b_pl|行 云 战 靴
itm_sarranid_boots_c|行 云 战 靴
itm_sarranid_boots_c_pl|行 云 战 靴
itm_sarranid_boots_d|行 云 战 靴
itm_sarranid_boots_d_pl|行 云 战 靴
itm_sarranid_head_cloth|护 法 冠
itm_sarranid_head_cloth_pl|护 法 冠
itm_sarranid_head_cloth_b|护 法 冠
itm_sarranid_head_cloth_b_pl|护 法 冠
itm_sarranid_felt_head_cloth|护 法 冠
itm_sarranid_felt_head_cloth_pl|护 法 冠
itm_sarranid_felt_head_cloth_b|护 法 冠
itm_sarranid_felt_head_cloth_b_pl|护 法 冠
itm_lady_dress_ruby|修 士 行 袍
itm_lady_dress_ruby_pl|修 士 行 袍
itm_lady_dress_green|修 士 行 袍
itm_lady_dress_green_pl|修 士 行 袍
itm_lady_dress_blue|修 士 行 袍
itm_lady_dress_blue_pl|修 士 行 袍
itm_red_dress|修 士 行 袍
itm_red_dress_pl|修 士 行 袍
itm_brown_dress|修 士 行 袍
itm_brown_dress_pl|修 士 行 袍
itm_green_dress|修 士 行 袍
itm_green_dress_pl|修 士 行 袍
itm_khergit_lady_dress|修 士 行 袍
itm_khergit_lady_dress_pl|修 士 行 袍
itm_khergit_lady_dress_b|修 士 行 袍
itm_khergit_lady_dress_b_pl|修 士 行 袍
itm_sarranid_lady_dress|修 士 行 袍
itm_sarranid_lady_dress_pl|修 士 行 袍
itm_sarranid_lady_dress_b|修 士 行 袍
itm_sarranid_lady_dress_b_pl|修 士 行 袍
itm_sarranid_common_dress|修 士 行 袍
itm_sarranid_common_dress_pl|修 士 行 袍
itm_sarranid_common_dress_b|修 士 行 袍
itm_sarranid_common_dress_b_pl|修 士 行 袍
itm_courtly_outfit|修 士 行 袍
itm_courtly_outfit_pl|修 士 行 袍
itm_nobleman_outfit|修 士 行 袍
itm_nobleman_outfit_pl|修 士 行 袍
itm_nomad_armor|护 身 灵 甲
itm_nomad_armor_pl|护 身 灵 甲
itm_khergit_armor|护 身 灵 甲
itm_khergit_armor_pl|护 身 灵 甲
itm_leather_jacket|皮 夹 克
itm_leather_jacket_pl|皮 夹 克
itm_rawhide_coat|护 身 灵 甲
itm_rawhide_coat_pl|护 身 灵 甲
itm_leather_armor|护 身 灵 甲
itm_leather_armor_pl|护 身 灵 甲
itm_fur_coat|护 身 灵 甲
itm_fur_coat_pl|护 身 灵 甲
itm_coat|护 身 灵 甲
itm_coat_pl|护 身 灵 甲
itm_leather_coat|护 身 灵 甲
itm_leather_coat_pl|护 身 灵 甲
itm_mail_coat|玄 铁 战 甲
itm_mail_coat_pl|玄 铁 战 甲
itm_long_mail_coat|玄 铁 战 甲
itm_long_mail_coat_pl|玄 铁 战 甲
itm_mail_with_tunic_red|玄 铁 战 甲
itm_mail_with_tunic_red_pl|玄 铁 战 甲
itm_mail_with_tunic_green|玄 铁 战 甲
itm_mail_with_tunic_green_pl|玄 铁 战 甲
itm_hide_coat|护 身 灵 甲
itm_hide_coat_pl|护 身 灵 甲
itm_merchant_outfit|修 士 行 袍
itm_merchant_outfit_pl|修 士 行 袍
itm_homespun_dress|修 士 行 袍
itm_homespun_dress_pl|修 士 行 袍
itm_thick_coat|护 身 灵 甲
itm_thick_coat_pl|护 身 灵 甲
itm_coat_with_cape|护 法 冠
itm_coat_with_cape_pl|护 法 冠
itm_steppe_outfit|修 士 行 袍
itm_steppe_outfit_pl|修 士 行 袍
itm_nordic_outfit|修 士 行 袍
itm_nordic_outfit_pl|修 士 行 袍
itm_nordic_armor|护 身 灵 甲
itm_nordic_armor_pl|护 身 灵 甲
itm_hide_armor|护 身 灵 甲
itm_hide_armor_pl|护 身 灵 甲
itm_cloaked_tunic|修 士 行 袍
itm_cloaked_tunic_pl|修 士 行 袍
itm_sleeveless_tunic|修 士 行 袍
itm_sleeveless_tunic_pl|修 士 行 袍
itm_sleeveless_leather_tunic|修 士 行 袍
itm_sleeveless_leather_tunic_pl|修 士 行 袍
itm_linen_shirt|修 士 行 袍
itm_linen_shirt_pl|修 士 行 袍
itm_wool_coat|护 身 灵 甲
itm_wool_coat_pl|护 身 灵 甲
itm_dress|修 士 行 袍
itm_dress_pl|修 士 行 袍
itm_blue_dress|修 士 行 袍
itm_blue_dress_pl|修 士 行 袍
itm_peasant_dress|修 士 行 袍
itm_peasant_dress_pl|修 士 行 袍
itm_woolen_dress|修 士 行 袍
itm_woolen_dress_pl|修 士 行 袍
itm_shirt|修 士 行 袍
itm_shirt_pl|修 士 行 袍
itm_linen_tunic|修 士 行 袍
itm_linen_tunic_pl|修 士 行 袍
itm_short_tunic|修 士 行 袍
itm_short_tunic_pl|修 士 行 袍
itm_red_shirt|修 士 行 袍
itm_red_shirt_pl|修 士 行 袍
itm_red_tunic|修 士 行 袍
itm_red_tunic_pl|修 士 行 袍
itm_green_tunic|修 士 行 袍
itm_green_tunic_pl|修 士 行 袍
itm_blue_tunic|修 士 行 袍
itm_blue_tunic_pl|修 士 行 袍
itm_robe|修 士 行 袍
itm_robe_pl|修 士 行 袍
itm_coarse_tunic|修 士 行 袍
itm_coarse_tunic_pl|修 士 行 袍
itm_leather_apron|护 身 灵 甲
itm_leather_apron_pl|护 身 灵 甲
itm_tabard|护 身 灵 甲
itm_tabard_pl|护 身 灵 甲
itm_leather_vest|护 身 灵 甲
itm_leather_vest_pl|护 身 灵 甲
itm_steppe_armor|护 身 灵 甲
itm_steppe_armor_pl|护 身 灵 甲
itm_gambeson|护 身 灵 甲
itm_gambeson_pl|护 身 灵 甲
itm_blue_gambeson|护 身 灵 甲
itm_blue_gambeson_pl|护 身 灵 甲
itm_red_gambeson|护 身 灵 甲
itm_red_gambeson_pl|护 身 灵 甲
itm_padded_cloth|棉 袍
itm_padded_cloth_pl|棉 袍
itm_aketon_green|棉 袍
itm_aketon_green_pl|棉 袍
itm_leather_jerkin|护 身 灵 甲
itm_leather_jerkin_pl|护 身 灵 甲
itm_nomad_vest|护 身 灵 甲
itm_nomad_vest_pl|护 身 灵 甲
itm_ragged_outfit|修 士 行 袍
itm_ragged_outfit_pl|修 士 行 袍
itm_padded_leather|棉 衬 皮 衣
itm_padded_leather_pl|棉 衬 皮 衣
itm_tribal_warrior_outfit|修 士 行 袍
itm_tribal_warrior_outfit_pl|修 士 行 袍
itm_nomad_robe|修 士 行 袍
itm_nomad_robe_pl|修 士 行 袍
itm_studded_leather_coat|护 身 灵 甲
itm_studded_leather_coat_pl|护 身 灵 甲
itm_byrnie|链 铠
itm_byrnie_pl|链 铠
itm_haubergeon|短 链 甲
itm_haubergeon_pl|短 链 甲
itm_lamellar_vest|玄 铁 战 甲
itm_lamellar_vest_pl|玄 铁 战 甲
itm_lamellar_vest_khergit|玄 铁 战 甲
itm_lamellar_vest_khergit_pl|玄 铁 战 甲
itm_mail_shirt|玄 铁 战 甲
itm_mail_shirt_pl|玄 铁 战 甲
itm_mail_hauberk|玄 铁 战 甲
itm_mail_hauberk_pl|玄 铁 战 甲
itm_mail_with_surcoat|玄 铁 战 甲
itm_mail_with_surcoat_pl|玄 铁 战 甲
itm_surcoat_over_mail|玄 铁 战 甲
itm_surcoat_over_mail_pl|玄 铁 战 甲
itm_brigandine_red|锁 子 铠
itm_brigandine_red_pl|锁 子 铠
itm_lamellar_armor|玄 铁 战 甲
itm_lamellar_armor_pl|玄 铁 战 甲
itm_scale_armor|玄 铁 战 甲
itm_scale_armor_pl|玄 铁 战 甲
itm_banded_armor|护 身 灵 甲
itm_banded_armor_pl|护 身 灵 甲
itm_cuir_bouilli|硬 皮 甲
itm_cuir_bouilli_pl|硬 皮 甲
itm_coat_of_plates|玄 铁 战 甲
itm_coat_of_plates_pl|玄 铁 战 甲
itm_coat_of_plates_red|玄 铁 战 甲
itm_coat_of_plates_red_pl|玄 铁 战 甲
itm_plate_armor|玄 铁 战 甲
itm_plate_armor_pl|玄 铁 战 甲
itm_black_armor|护 身 灵 甲
itm_black_armor_pl|护 身 灵 甲
itm_pelt_coat|护 身 灵 甲
itm_pelt_coat_pl|护 身 灵 甲
itm_khergit_elite_armor|护 身 灵 甲
itm_khergit_elite_armor_pl|护 身 灵 甲
itm_vaegir_elite_armor|护 身 灵 甲
itm_vaegir_elite_armor_pl|护 身 灵 甲
itm_sarranid_elite_armor|护 身 灵 甲
itm_sarranid_elite_armor_pl|护 身 灵 甲
itm_sarranid_dress_a|修 士 行 袍
itm_sarranid_dress_a_pl|修 士 行 袍
itm_sarranid_dress_b|修 士 行 袍
itm_sarranid_dress_b_pl|修 士 行 袍
itm_sarranid_cloth_robe|修 士 行 袍
itm_sarranid_cloth_robe_pl|修 士 行 袍
itm_sarranid_cloth_robe_b|修 士 行 袍
itm_sarranid_cloth_robe_b_pl|修 士 行 袍
itm_skirmisher_armor|护 身 灵 甲
itm_skirmisher_armor_pl|护 身 灵 甲
itm_archers_vest|护 身 灵 甲
itm_archers_vest_pl|护 身 灵 甲
itm_sarranid_leather_armor|护 身 灵 甲
itm_sarranid_leather_armor_pl|护 身 灵 甲
itm_sarranid_cavalry_robe|修 士 行 袍
itm_sarranid_cavalry_robe_pl|修 士 行 袍
itm_arabian_armor_b|护 身 灵 甲
itm_arabian_armor_b_pl|护 身 灵 甲
itm_sarranid_mail_shirt|玄 铁 战 甲
itm_sarranid_mail_shirt_pl|玄 铁 战 甲
itm_mamluke_mail|玄 铁 战 甲
itm_mamluke_mail_pl|玄 铁 战 甲
itm_burlap_tunic|修 士 行 袍
itm_burlap_tunic_pl|修 士 行 袍
itm_heraldic_mail_with_surcoat|玄 铁 战 甲
itm_heraldic_mail_with_surcoat_pl|玄 铁 战 甲
itm_heraldic_mail_with_tunic|玄 铁 战 甲
itm_heraldic_mail_with_tunic_pl|玄 铁 战 甲
itm_heraldic_mail_with_tunic_b|玄 铁 战 甲
itm_heraldic_mail_with_tunic_b_pl|玄 铁 战 甲
itm_heraldic_mail_with_tabard|玄 铁 战 甲
itm_heraldic_mail_with_tabard_pl|玄 铁 战 甲
itm_turret_hat_ruby|护 法 冠
itm_turret_hat_ruby_pl|护 法 冠
itm_turret_hat_blue|护 法 冠
itm_turret_hat_blue_pl|护 法 冠
itm_turret_hat_green|护 法 冠
itm_turret_hat_green_pl|护 法 冠
itm_head_wrappings|护 法 冠
itm_head_wrappings_pl|护 法 冠
itm_court_hat|护 法 冠
itm_court_hat_pl|护 法 冠
itm_wimple_a|包 头 巾
itm_wimple_a_pl|包 头 巾
itm_wimple_with_veil|带 面 纱 头 巾
itm_wimple_with_veil_pl|带 面 纱 头 巾
itm_straw_hat|护 法 冠
itm_straw_hat_pl|护 法 冠
itm_common_hood|护 法 冠
itm_common_hood_pl|护 法 冠
itm_hood_b|护 法 冠
itm_hood_b_pl|护 法 冠
itm_hood_c|护 法 冠
itm_hood_c_pl|护 法 冠
itm_hood_d|护 法 冠
itm_hood_d_pl|护 法 冠
itm_headcloth|护 法 冠
itm_headcloth_pl|护 法 冠
itm_woolen_hood|护 法 冠
itm_woolen_hood_pl|护 法 冠
itm_arming_cap|护 法 冠
itm_arming_cap_pl|护 法 冠
itm_fur_hat|护 法 冠
itm_fur_hat_pl|护 法 冠
itm_nomad_cap|护 法 冠
itm_nomad_cap_pl|护 法 冠
itm_nomad_cap_b|护 法 冠
itm_nomad_cap_b_pl|护 法 冠
itm_steppe_cap|护 法 冠
itm_steppe_cap_pl|护 法 冠
itm_padded_coif|头 肩 巾
itm_padded_coif_pl|头 肩 巾
itm_woolen_cap|护 法 冠
itm_woolen_cap_pl|护 法 冠
itm_felt_hat|护 法 冠
itm_felt_hat_pl|护 法 冠
itm_felt_hat_b|护 法 冠
itm_felt_hat_b_pl|护 法 冠
itm_leather_cap|护 法 冠
itm_leather_cap_pl|护 法 冠
itm_female_hood|护 法 冠
itm_female_hood_pl|护 法 冠
itm_leather_steppe_cap_a|护 法 冠
itm_leather_steppe_cap_a_pl|护 法 冠
itm_leather_steppe_cap_b|护 法 冠
itm_leather_steppe_cap_b_pl|护 法 冠
itm_leather_steppe_cap_c|护 法 冠
itm_leather_steppe_cap_c_pl|护 法 冠
itm_leather_warrior_cap|护 法 冠
itm_leather_warrior_cap_pl|护 法 冠
itm_skullcap|护 法 冠
itm_skullcap_pl|护 法 冠
itm_mail_coif|玄 铁 战 甲
itm_mail_coif_pl|玄 铁 战 甲
itm_footman_helmet|护 法 冠
itm_footman_helmet_pl|护 法 冠
itm_nasal_helmet|护 法 冠
itm_nasal_helmet_pl|护 法 冠
itm_norman_helmet|护 法 冠
itm_norman_helmet_pl|护 法 冠
itm_segmented_helmet|护 法 冠
itm_segmented_helmet_pl|护 法 冠
itm_helmet_with_neckguard|护 法 冠
itm_helmet_with_neckguard_pl|护 法 冠
itm_flat_topped_helmet|护 法 冠
itm_flat_topped_helmet_pl|护 法 冠
itm_kettle_hat|护 法 冠
itm_kettle_hat_pl|护 法 冠
itm_spiked_helmet|破 阵 长 兵
itm_spiked_helmet_pl|破 阵 长 兵
itm_nordic_helmet|护 法 冠
itm_nordic_helmet_pl|护 法 冠
itm_khergit_lady_hat|护 法 冠
itm_khergit_lady_hat_pl|护 法 冠
itm_khergit_lady_hat_b|护 法 冠
itm_khergit_lady_hat_b_pl|护 法 冠
itm_sarranid_felt_hat|护 法 冠
itm_sarranid_felt_hat_pl|护 法 冠
itm_turban|护 法 冠
itm_turban_pl|护 法 冠
itm_desert_turban|护 法 冠
itm_desert_turban_pl|护 法 冠
itm_sarranid_warrior_cap|护 法 冠
itm_sarranid_warrior_cap_pl|护 法 冠
itm_sarranid_horseman_helmet|凡 马
itm_sarranid_horseman_helmet_pl|凡 马
itm_sarranid_helmet1|护 法 冠
itm_sarranid_helmet1_pl|护 法 冠
itm_sarranid_mail_coif|玄 铁 战 甲
itm_sarranid_mail_coif_pl|玄 铁 战 甲
itm_sarranid_veiled_helmet|护 法 冠
itm_sarranid_veiled_helmet_pl|护 法 冠
itm_nordic_archer_helmet|护 法 冠
itm_nordic_archer_helmet_pl|护 法 冠
itm_nordic_veteran_archer_helmet|护 法 冠
itm_nordic_veteran_archer_helmet_pl|护 法 冠
itm_nordic_footman_helmet|护 法 冠
itm_nordic_footman_helmet_pl|护 法 冠
